"domain","URL","MobileURL","Date","Title","StationName","Location","place","best_para"
"WSFA","http://www.WSFA.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 15:30:00","Good Samaritan trying to help victim of dog attack accidentally","WSFA (NBC)","Montgomery, AL","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
"WTOC","http://www.wtoc.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 14:15:00","Good Samaritan trying to help victim of dog attack accidentally","WTOC-SAV (CBS)","Savannah, GA","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
"WTOL","http://www.wtol.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 15:15:00","Good Samaritan trying to help victim of dog attack accidentally","WTOL (CBS)","Toledo, OH","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
"WTVM","http://www.wtvm.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 15:15:00","Good Samaritan trying to help victim of dog attack accidentally","WTVM (ABC)","Columbus, GA","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
"KSBY","http://www.ksby.com/story/36549230/santa-maria-police-id-victims-in-saturdays-shootings","","2017-10-09 04:00:00","Santa Maria police ID victims in Saturday shootings - KSBY . com","KSBY-SBA (NBC)","San Luis Obispo, CA","","Most Popular StoriesMost Popular StoriesMore>> UPDATE: Atascadero woman killed in car crash overnight in Santa BarbaraUPDATE: Atascadero woman killed in car crash overnight in Santa BarbaraUpdated: Friday, October 13 2017 11:27 AM EDT2017-10-13 15:27:24 GMT(KSBY)One person is dead after crashing their SUV into a tree along Highway 101 in Santa Barbara early Friday morning.One person is dead after crashing their SUV into a tree along Highway 101 in Santa Barbara early Friday morning.Residents voice concerns over roundabout coming to Highway 46 West & Vineyard DriveResidents voice concerns over roundabout coming to Highway 46 West & Vineyard DriveUpdated: Friday, October 13 2017 3:12 AM EDT2017-10-13 07:12:34 GMTA four-way stop at Highway 46 West and Vineyard Drive in Templeton will soon be replaced with a roundabout, Caltrans told local residents Thursday night during an informational meeting.A four-way stop at Highway 46 West and Vineyard Drive in Templeton will soon be replaced with a roundabout, Caltrans told local residents Thursday night during an informational meeting.Police arrest one, search for second suspect in Morro Bay armed robberyPolice arrest one, search for second suspect in Morro Bay armed robberyUpdated: Thursday, October 12 2017 9:33 PM EDT2017-10-13 01:33:39 GMTThe Morro Bay Police Department has made an arrest in connection with an armed robbery at Del Mar Park back in July and is looking for a second suspect. The Morro Bay Police Department has made an arrest in connection with an armed robbery at Del Mar Park back in July and is looking for a second suspect. SMPD warning drivers about city's 72-hour parking ruleSMPD warning drivers about city's 72-hour parking ruleUpdated: Thursday, October 12 2017 11:31 PM EDT2017-10-13 03:31:57 GMTAfter receiving several complaints, Santa Maria police are reminding drivers about the city's 72-hour parking rule.After receiving several complaints, Santa Maria police are reminding drivers about the city's 72-hour parking rule.  "
"KSLA","http://www.ksla.com/story/36549007/university-city-teen-dies-after-allegedly-playing-with-guns-with-friend","","2017-10-09 13:30:00","Teen shot , killed while playing with guns in University City , po","KSLA-SHV (CBS)","Shreveport, LA","","Trending StoriesTrending StoriesMore>>Jessica Chambers' burn injuries, suspect’s phone in spotlightJessica Chambers' burn injuries, suspect’s phone in spotlightUpdated: Friday, October 13 2017 7:13 AM EDT2017-10-13 11:13:51 GMTThe third day of Quinton Tellis' murder trial started with jurors exploring the area where Jessica Chambers was burned alive.More >>The third day of Quinton Tellis' murder trial started with jurors exploring the area where Jessica Chambers was burned alive.More >>Social Security benefits to rise by 2 percent in 2018Social Security benefits to rise by 2 percent in 2018Posted: Friday, October 13 2017 3:55 AM EDT2017-10-13 07:55:57 GMTUpdated: Friday, October 13 2017 11:56 AM EDT2017-10-13 15:56:57 GMTMillions of Social Security recipients and other retirees can expect another modest increase in benefits next year.More >>Millions of Social Security recipients and other retirees can expect another modest increase in benefits next year.More >>Trump to issue stop-payment order on health care subsidiesTrump to issue stop-payment order on health care subsidiesPosted: Friday, October 13 2017 4:25 AM EDT2017-10-13 08:25:58 GMTUpdated: Friday, October 13 2017 11:58 AM EDT2017-10-13 15:58:48 GMTPresident Donald Trump plans to halt payments to insurers under the Obama-era health care law he has been trying to unravel for months.More >>President Donald Trump plans to halt payments to insurers under the Obama-era health care law he has been trying to unravel for months.More >>NOPD officer killed in New Orleans East shootoutNOPD officer killed in New Orleans East shootoutA New Orleans police officer was shot Friday morning in eastern New Orleans (FOX 8)A gunman killed a New Orleans police office overnight on Friday morning in eastern New Orleans.More >>A gunman killed a New Orleans police office overnight on Friday morning in eastern New Orleans.More >>Police: Bluetooth can be used to detect card skimmers at ATM, gas pumpsPolice: Bluetooth can be used to detect card skimmers at ATM, gas pumpsPosted: Thursday, October 12 2017 3:03 PM EDT2017-10-12 19:03:18 GMTUpdated: Thursday, October 12 2017 3:06 PM EDT2017-10-12 19:06:36 GMT(Source: Shelby Police Department).The Shelby, NC Police Department is warning the public against ATM and gas pump skimmers. Officer said skimmers are electronic devices used to record account numbers from bank cards.More >>The Shelby, NC Police Department is warning the public against ATM and gas pump skimmers. Officer said skimmers are electronic devices used to record account numbers from bank cards.More >>'Cleveland, is that you?' armed robbery victim asks; 'No, it's not me,' suspect replies, according to warrant'Cleveland, is that you?' armed robbery victim asks; 'No, it's not me,' suspect replies, according to warrantUpdated: Thursday, October 12 2017 7:25 AM EDT2017-10-12 11:25:23 GMTTwo fast food restaurant workers robbed at gunpoint by a man wearing a ski mask identified the suspect as a former co-worker, according to reports.More >>Two fast food restaurant workers robbed at gunpoint by a man wearing a ski mask identified the suspect as a former co-worker, according to reports.More >>NOPD identifies officer killed in New Orleans East shootoutNOPD identifies officer killed in New Orleans East shootoutMarcus McNeil (Source: NOPD)Marcus McNeil, 29, was shot while on patrol near the intersection of Tara Lane and Lake Forest Boulevard. More >>Marcus McNeil, 29, was shot while on patrol near the intersection of Tara Lane and Lake Forest Boulevard. More >>3 doses of Narcan saves 18-month-old who overdosed on heroin3 doses of Narcan saves 18-month-old who overdosed on heroinUpdated: Thursday, October 12 2017 12:06 AM EDT2017-10-12 04:06:41 GMT(Source: WTOL)Once the mother realized her son was unresponsive she took him to St Vincent's Medical Center where it took 3 doses of Narcan to bring him back to life.More >>Once the mother realized her son was unresponsive she took him to St Vincent's Medical Center where it took 3 doses of Narcan to bring him back to life.More >>2 prison employees killed, several injured after NC prison attempted escape2 prison employees killed, several injured after NC prison attempted escapeUpdated: Friday, October 13 2017 5:22 AM EDT2017-10-13 09:22:07 GMT(Source: RNN)Two people are dead and several more were injured during an attempted escape at Pasquotank County Correctional Institution in Elizabeth City.More >>Two people are dead and several more were injured during an attempted escape at Pasquotank County Correctional Institution in Elizabeth City.More >>Active-duty Airmen identified, apprehended in Satanic graffiti vandalism caseActive-duty Airmen identified, apprehended in Satanic graffiti vandalism caseUpdated: Friday, October 13 2017 11:49 AM EDT2017-10-13 15:49:24 GMTThe Sumter County Sheriff's Office arrested a group of Airmen from Shaw Air Force Base on charges that they spray-painted Satanic graffiti on a rural church.More >>The Sumter County Sheriff's Office arrested a group of Airmen from Shaw Air Force Base on charges that they spray-painted Satanic graffiti on a rural church.More >>  "
"WITN","http://www.witn.com/content/news/SHERIFF-Grandfather-accidentally-shot-and-killed-in-Pasquotank-County-by-4-year-old-grandson-450119743.html","","2017-10-09 20:45:00","SHERIFF : Grandfather accidentally shot and killed in Pasquotank County by 4 year old grandson","WITN-GRENC (NBC)","Washington, NC",""," Authorities say an outing involving a man and his grandson ended with the child accidentally shooting and killing his grandfather.  Pasquotank County Sheriff Andy Cartwright says that the shooting happened Sunday around 2:20 p.m. Deputies responded to an area off Sandy Road referred to as S Desert Road, where Danny Patrick, 57, of Elizabeth City, had been shooting a rifle with his 4 year old grandson.  Investigators say that the child accidentally fired the rifle which hit Patrick.Patrick died at the scene.  "
"KCCI","http://www.kcci.com/article/police-investigating-shooting-near-183rd-emiline/12790821","http://amp.kcci.com/article/police-investigating-shooting-near-183rd-emiline/12790821","2017-10-06 08:30:00","Sheriff office : Man accidentally shoots , kills wife while cleaning pistol","KCCI-DM (CBS)","Des Moines, IA","","Sheriffâ<U+0080><U+0099>s office: Man accidentally shoots, kills wife while cleaning pistol"
"KCRA","http://www.kcra.com/article/police-investigating-shooting-near-183rd-emiline/12790821","http://amp.kcra.com/article/police-investigating-shooting-near-183rd-emiline/12790821","2017-10-06 05:30:00","Sheriff office : Man accidentally shoots , kills wife while cleaning pistol","KCRA-SAC (NBC)","Sacramento, CA","","Sheriffâ<U+0080><U+0099>s office: Man accidentally shoots, kills wife while cleaning pistol"
"KHOU","http://www.khou.com/news/no-charges-to-be-filed-in-8-year-olds-shooting-death/481399751","http://www.khou.com/amp/news/no-charges-to-be-filed-in-8-year-olds-shooting-death/481399751","2017-10-07 00:30:00","No charges to be filed in 8 - year - old shooting death","KHOU-HOU (CBS)","Houston, TX",""," No charges to be filed in 8-year-old's shooting death KHOU.com Staff , KHOU 5:22 PM. CDT October 06, 2017 (Photo: artolympic, Thinkstock Images, artolympic) CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST LIBERTY COUNTY, Texas - No charges will be filed in the shooting death of an 8-year-old boy in north Liberty County, according to the Liberty County Sheriff's Office. On Friday, authorities said Abel Rincon, 8, accidentally fatally shot himself when he reached for a rifle and pulled it toward him, causing it to fire and hitting him in the chest. Detectives said the rifle was older and did not have a trigger guard which may have contributed to the trigger being pulled by accident. The child was shot Saturday, September 30, 2017 at a home in north Liberty County.Family members were shooting at tin cans outside the home that evening. The child's father said his son and his nephew were using the older rifle to shoot at the cans as well when the gun went off.The case has been ruled as an accidental self-inflicted gunshot wound. While no charges will be filed, the case will go to a Liberty County Grand Jury for review.   © 2017 KHOU-TV CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST "
"KHQ","http://www.khq.com/story/36529443/cops-man-shoots-self-when-he-drops-gun-while-calming-child","","2017-10-05 19:45:00","Cops : Man shoots self when he drops gun while calming child","KHQ (NBC)","Spokane, WA","BERWICK, Pa.","BERWICK, Pa. - Police say a Pennsylvania man fatally shot himself when he tried to catch a gun that fell from his holster while he was trying to calm his crying child in the back seat of a car.Berwick police say 28-year-old Kenneth Morris reached through the car's rear driver's side door to comfort his son when the .357-caliber gun fell from Morris' shoulder holster. When Morris tried to grab the falling weapon, he accidentally pulled the trigger, shooting himself in the stomach.Police say surveillance video captured the shooting, which happened Tuesday afternoon in a driveway of a home. Morris was from the Nescopeck area.He was taken to a hospital, where he later died.(Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.)"
"WBIR","http://www.wbir.com/news/crime/nashville-church-shooting-two-more-victims-released-from-hospital-only-1-remains/481259721","http://www.wbir.com/amp/news/crime/nashville-church-shooting-two-more-victims-released-from-hospital-only-1-remains/481259721","2017-10-06 14:30:00","Nashville church shooting : Two more victims released from hospital , only 1 remains","WBIR (NBC)","Knoxville, TN",""," Nashville church shooting: Two more victims released from hospital, only 1 remains Sept. 26, 2017: The minister of Burnette Chapel Church of Christ in Antioch described how he remembered the shooting at his church on Sunday. Natalie Neysa Alund and Holly Meyer, The Tennessean , WBIR 7:58 AM. EDT October 06, 2017 (Photo: Shelley Mays/The Tennessean) CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST NASHVILLE — Two more people shot by a lone gunman at a Nashville church last month have been released from the hospital, a hospital spokesperson said Thursday.One other victim remains hospitalized in stable condition at Vanderbilt University Medical Center spokeswoman Kristin Smart said.Peggy Spann, the wife of the minister at Burnette Chapel Church of Christ, remains hospitalized, said Mike McPherson, colleague and friend of the church's Minister Joey Spann, 66.More: 'He's killed me. I'm dying.' Minister recounts chaos during Antioch church shootingThe brazen Sept. 24 shooting left one dead and seven other parishioners seriously injured, Metro police said.Joey Spann and his wife were shot along with fellow parishioners William Jenkins, 83; Marlene Jenkins, 84; and Linda Bush, 68. Katherine Dickerson, 64, was also shot, and Robert ""Caleb"" Engle, 22, who was pistol whipped, were treated at TriStar Skyline Medical Center and released the night of the shooting, hospital officials there said.Melanie Smith, 39, of Smyrna, who was shot as she left the morning church service, died.The shooter, identified as Emanuel Kidega Samson, a 25-year-old Rutherford County man, accidentally shot himself after he was confronted by Engle. Samson was treated at an area hospital and was released into police custody the night of the shooting. He has been charged with one count of criminal homicide and remained jailed Thursday without bond.Additional charges are pending authorities said. He is due in court Friday for a hearing on his case.A note found in Samson's Nissan Xterra referenced retaliation for a white supremacist's massacre at a black church two years ago in Charleston, South Carolina, law enforcement officials told the Associated Press.While police have not released a motive for the attack, the note could offer a glimpse into his mindset.The Associated Press in Washington, D.C. has not viewed the note, but it was summarized in an investigative report circulating among law enforcement.The report said that ""in sum and in no way verbatim,"" the note referenced revenge or retaliation for Dylann Roof, the white supremacist who killed nine black worshipers at a South Carolina church in 2015 and has since been sentenced to death.It wasn't clear what Samson, who is black, is alleged to have written about the Roof shooting, or whether his note contained other details that might also speak to a motivation or state of mind.Metro Nashville police have not commented on the note. © 2017 USATODAY.COM CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST "
"WCVB","http://www.wcvb.com/article/police-investigating-shooting-near-183rd-emiline/12790821","http://amp.wcvb.com/article/police-investigating-shooting-near-183rd-emiline/12790821","2017-10-06 11:15:00","Sheriff office : Man accidentally shoots , kills wife while cleaning pistol","WCVB-BOS (ABC)","Boston, MA","","Sheriffâ<U+0080><U+0099>s office: Man accidentally shoots, kills wife while cleaning pistol"
"WGAL","http://www.wgal.com/article/police-investigating-shooting-near-183rd-emiline/12790821","http://amp.wgal.com/article/police-investigating-shooting-near-183rd-emiline/12790821","2017-10-06 08:45:00","Sheriff office : Man accidentally shoots , kills wife while cleaning pistol","WGAL-HAR (NBC)","Lancaster, PA","","Sheriffâ<U+0080><U+0099>s office: Man accidentally shoots, kills wife while cleaning pistol"
"WPTV","http://www.wptv.com/news/state/orange-county-sheriffs-deputies-5-year-old-boy-shoots-self-with-relatives-gun","http://amp.wptv.com/2366577296/orange-county-sheriffs-deputies-5-year-old-boy-shoots-self-with-relatives-gun.html","2017-10-04 18:45:00","Deputies : 5 - year - old boy shoots self with relative gun","WPTV (NBC)","West Palm Beach, FL",""," Previous Next Sheriff's officials in Florida say a 5-year-old boy apparently found a relative's gun inside a vehicle that was parked in a parking lot and accidentally shot himself to death. Sheriff's officials in Florida say a 5-year-old boy apparently found a relative's gun inside a vehicle that was parked in a parking lot and accidentally shot himself to death. WKMG, CNN NEWSOURCE Show Caption Hide Caption Previous Next "
"WFTV","http://www.wftv.com/news/local/5-year-old-accidentally-kills-himself-with-gun-across-the-street-from-florida-hospital-east/619046171","http://amp.wftv.com/news/local/5-year-old-accidentally-kills-himself-with-gun-across-the-street-from-florida-hospital-east/619046171","2017-10-04 00:15:00","5 - year - old accidentally kills himself with gun across the street from Florida Hospital East","WFTV-ORD (ABC)","Orlando, FL",""," Thank you for registering! We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts. Click here to return to the page you were visiting. "
"WPTV","http://www.wptv.com/news/state/florida-father-accidentally-shoots-kills-son-while-cleaning-gun","http://amp.wptv.com/2365341466/florida-father-accidentally-shoots-kills-son-while-cleaning-gun.html","2017-10-03 12:15:00","Florida father accidentally shoots , kills son while cleaning gun","WPTV (NBC)","West Palm Beach, FL"," PORT CHARLOTTE, Fla."," PORT CHARLOTTE, Fla. (AP) -- Authorities say a Florida man fatally shot his adult son while cleaning a gun.The Sarasota Herald-Tribune reports that 22-year-old Joshua Alan Jordan died Saturday.The Charlotte County Sheriff's Office says Jordan's father was cleaning his .45-caliber handgun at a Port Charlotte home after returning from a local gun range. The firearm discharged and struck Jordan.Family members performed CPR until emergency responders arrived. Jordan was taken to a hospital, where he was pronounced dead.Detectives say the shooting was an accident. No charges were immediately filed. Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed. Print this article Back to Top Share Article ScrippsGlobal.checkStoryInternalKeywords($("".story__content"")); A Share A A A Share Article "
"WTOK","http://www.wtok.com/content/news/Clerk-charged-with-killing-man-at-gas-station-449085793.html","","2017-10-02 19:15:00","Clerk charged with killing man at gas station","WTOK (ABC)","Meridian, MS",""," JACKSON, Miss. (AP) - A Mississippi store clerk has been arrested in connection with a double shooting at a gas station that left him wounded and killed another man. News outlets report 26-year-old Chris Conley was charged with murder in the Saturday death of 31-year-old James Terrell McGee. Authorities say the shooting occurred at a Chuk Stop in Jackson on Friday. Jackson police Sgt. Roderick Holmes says McGee was allegedly trying to shoplift from the store, which led to an argument with Conley.  As McGee left the store, Conley pulled out a gun and shot McGee in the head. Conley also accidentally shot himself in the hand. Further details were not immediately released. "
"WXYZ","http://www.wxyz.com/news/teen-accidentally-shot-in-the-head-at-white-lake-gun-range","http://amp.wxyz.com/2364272603/teen-accidentally-shot-in-the-head-at-white-lake-gun-range.html","2017-10-02 18:30:00","Teen accidentally shot in the head at White Lake gun range","WXYZ-DET (ABC)","Detroit, MI",""," Copyright 2013 Scripps Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Show Caption Hide Caption Previous Next WHITE LAKE TOWNSHIP, Mich. (WXYZ) - White Lake Township police say a 17-year-old is in critical condition after he was accidentally shot in the head at a gun range on Sunday.According to police, it happened during a target shooting session around 4:15 p.m. on Grass Lake Rd.An 18-year-old was attempting to clear a cartridge from a .22 caliber pistol when the gun accidentally discharged, striking the 17-year-old in the head.The 17-year-old was taken to Huron Valley Hospital and then transferred to McLaren Hospital and then to Beaumont Royal Oak. The 18-year-old was detained for questioning.Right now, it's not known if the pistol was registered and police are continuing their investigation. Copyright 2017 Scripps Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Print this article Back to Top Share Article ScrippsGlobal.checkStoryInternalKeywords($("".story__content"")); A Share A A A Share Article "
"KCRA","http://www.kcra.com/article/police-toddler-shoots-2-other-children-at-day-care/12504676","http://amp.kcra.com/article/police-toddler-shoots-2-other-children-at-day-care/12504676","2017-09-29 07:00:00","Police : Toddler shoots 2 other children at day care","KCRA-SAC (NBC)","Sacramento, CA"," DEARBORN, Mich."," DEARBORN, Mich. — Police say a toddler accidentally shot and wounded two other children at a home day care facility in suburban Detroit. Advertisement Dearborn Police Chief Ronald Haddad says a preliminary investigation has determined that the toddler “accessed a handgun and the weapon discharged” at around 10:20 a.m. Wednesday.Police said Thursday that the wounded 3-year-olds are in serious but stable condition at a hospital.Haddad says the gun was kept in the Dearborn home. Several other children were in the home at the time of the shooting. They were taken to the police station to be reunited with their parents.""We're going to pray that these two young kids are going to be OK,"" Haddad said, according to WDIV. ""However it shakes out, it's a tragedy for our entire community and this isn't something that anybody plans to occur. So I would just say that at this time we just want to hope and pray for the best for the young people involved and the rest will take care of itself.""Neighbor Marilyn Starr voiced serious frustration with the homeowners, identified as Tim and Samantha Eubanks. ""It's appalling,"" she said. ""It's negligence. It's gross negligence. I mean, both of those children could die.""The Eubanks' family defended them, saying that Tim is a hunter who would never leave weapons for children to find.""I'd be shocked, because he keeps everything hidden,"" Tim Eubanks' cousin, Jarrett Schmidt, said. ""He keeps everything out because he has kids. He's a responsible parent. He's not going to leave stuff laying around.""No one has been charged. Police say investigators plan to meet with prosecutors to determine whether charges will be brought. "
"KHQ","http://www.khq.com/story/36473391/toddler-shoots-2-other-children-at-michigan-day-care","","2017-09-28 14:15:00","Toddler shoots 2 other children at Michigan day care","KHQ (NBC)","Spokane, WA","DEARBORN, Mich.","DEARBORN, Mich. (AP) - Police say a toddler accidentally shot and injured two other children at a home day care facility in suburban Detroit.    Dearborn Police Chief Ronald Haddad says a preliminary investigation has revealed the toddler ""accessed a handgun and the weapon discharged"" about 10:20 a.m. Wednesday.    The wounded children both are believed to be 3 years old. They have been hospitalized in critical, but stable condition.    Haddad says the gun was kept in the Dearborn home, west of Detroit. Several other children were at the home at the time of the shooting. Those children were taken to the police station to be reunited with their parents.    The shooting remains under investigation. No one has been charged.(Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.)"
"KLTV","http://www.kltv.com/story/36475305/police-toddler-shot-2-other-kids-at-michigan-home-day-care","","2017-09-28 18:30:00","Police : Toddler shot 2 other kids at Michigan home day care - KLTV . com - Tyler , Longview , Jacksonville","KLTV (ABC)","Tyler, TX","",""
"KMOV","http://www.kmov.com/story/36473401/toddler-shoots-2-other-children-at-michigan-day-care","","2017-09-29 04:00:00","Toddler shot 2 other kids at Michigan home day care","KMOV-STL (CBS)","St. Louis, MO","DEARBORN, MI","DEARBORN, MI (AP) - Police say a toddler accidentally shot and wounded two other children at a home day care facility in suburban Detroit.Dearborn Police Chief Ronald Haddad says a preliminary investigation has determined that the toddler ""accessed a handgun and the weapon discharged"" at around 10:20 a.m. Wednesday.Police said Thursday that the wounded 3 years olds are in serious but stable condition at a hospital.Haddad says the gun was kept in the Dearborn home. Several other children were in the home at the time of the shooting. They were taken to the police station to be reunited with their parents.No one has been charged. Police say investigators plan to meet with prosecutors to determine whether charges will be brought.Copyright 2017 The Associated Press. All rights reserved. "
"KMOV","http://www.kmov.com/story/36493136/girl-8-shot-in-south-st-louis","","2017-10-01 03:30:00","Girl , 8 , shot in south St . Louis","KMOV-STL (CBS)","St. Louis, MO","","SOUTH ST. LOUIS (KMOV.com) - An investigation is underway after an 8-year-old girl was injured in a south St. Louis shooting Saturday night.Around 6:50 p.m., the girl was playing with two other children in the east gangway in the 2800 block of Potomac when they heard shots being fired. The kids then went inside a home, where the girl realized she had sustained graze wounds to her shoulder, neck and elbow.The girl was taken to the hospital and listed as stable.The investigation is ongoing.Copyright 2017 KMOV (Meredith Corporation). All rights reserved"
"WBRZ","http://www.wbrz.com/news/police-toddler-shot-2-other-kids-at-michigan-home-day-care","","2017-09-28 23:00:00","Police : Toddler shot 2 other kids at Michigan home day care","WBRZ-BTR (ABC)","Baton Rouge, LA"," DEARBORN, Mich."," DEARBORN, Mich. - Police say a toddler accidentally shot and wounded two other children at a home day care facility in suburban Detroit.    Dearborn Police Chief Ronald Haddad says a preliminary investigation has determined that the toddler ""accessed a handgun and the weapon discharged"" at around 10:20 a.m. Wednesday.    Police said Thursday that the wounded 3 years olds are in serious but stable condition at a hospital.    Haddad says the gun was kept in the Dearborn home. Several other children were in the home at the time of the shooting. They were taken to the police station to be reunited with their parents.    No one has been charged. Police say investigators plan to meet with prosecutors to determine whether charges will be brought. "
